Event	ID	Name			Wwise Object Path	Notes
	1950078070	HauntedStinger			\Default Work Unit\Environment\HauntedStinger	
	3991942870	Music			\Default Work Unit\Environment\Music\Music	

State Group	ID	Name			Wwise Object Path	Notes
	1021618141	MusicState			\Music\MusicState	

State	ID	Name	State Group			Notes
	192579722	IcePuzzle	MusicState			
	733150682	IceCombat	MusicState			
	748895195	None	MusicState			
	1125500713	Intro	MusicState			
	2437783708	LightningOutOfPuzzle	MusicState			
	2990546425	LightningCombat	MusicState			
	3099519893	IceOutOfCombat	MusicState			
	3485352473	LightningPuzzle	MusicState			
	3604647259	MainMenu	MusicState			
	3822410396	FinalMusic	MusicState			
	4102602869	IceOutOfPuzzle	MusicState			
	4114645792	LightningOutOfCombat	MusicState			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	514795800	MAIN Drum	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\Exotic_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\MAIN Drum		1669305
	522681793	Taiko	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems Taiko_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\Taiko		881612
	533533018	Hi Hats	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems 24-Agile Shot Kit_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceOutOfPuzzle\IceOutOfPuzzle\Hi Hats		649723
	580404228	ExtendedFinal_7-Space_Arp	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\ExtendedFinal_7-Space_Arp_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\EndingMusic\FinalLoop\ExtendedFinal_7-Space_Arp		1275453
	600380917	NewMenuM_2-Kontakt_7	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewMenuM_2-Kontakt_7_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\MainMenu\MenuLoop\NewMenuM_2-Kontakt_7		1532803
	603966075	SynthyIceee	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems 25-Group_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IcePuzzle\IcePuzzle\SynthyIceee		850464
	604583181	NewSynthIntro1	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewSynthIntro2_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceOutOfCombat\IceOutOfCombat\NewSynthIntro1		1718526
	621496916	MAIN Drum	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\MenuDrums_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IcePuzzle\IcePuzzle\MAIN Drum		420139
	631063583	MoreIceSounds	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\MoreIceSounds_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\MoreIceSounds		1634533
	639193959	NEWIntro	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NEWIntro_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\Intro\IntroIntro\NEWIntro		698922
	648565713	Orchestral Bell	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems OrchestralBell_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\Orchestral Bell		1425395
	658690728	FunIceThings	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\IceChime_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\FunIceThings		555911
	685873985	ExtendedFinal_1-PotentialWizzoBeat	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\ExtendedFinal_1-PotentialWizzoBeat_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\EndingMusic\FinalLoop\ExtendedFinal_1-PotentialWizzoBeat		1699820
	714054839	NewMenuM_1-Kontakt_7	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewMenuM_1-Kontakt_7_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\MainMenu\MenuLoop\NewMenuM_1-Kontakt_7		1813795
	716934936	Synth Pads	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\LongTrippySynthDim_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceOutOfPuzzle\IceOutOfPuzzle\Synth Pads		564966
	723017881	ZapPulse	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\LowCLightningPulseZap_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\LightningCombat\LightningCombat\ZapPulse		985492
	770205367	ExtendedFinal_4-Kontakt_7	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\ExtendedFinal_4-Kontakt_7_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\EndingMusic\FinalLoop\ExtendedFinal_4-Kontakt_7		2398885
	771789552	MAIN Drum	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems 7-Kontakt 7_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\MAIN Drum		2783516
	783982266	ZapPulse	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\LowCLightningPulse_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\LightningCombat\LightningCombat\ZapPulse		549230
	791407405	MAIN Drum	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\MoreDrumMidDrop_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IcePuzzle\IcePuzzle\MAIN Drum		6064170
	796662608	FunIceThings	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\LegIceArp_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\FunIceThings		756324
	799885752	Mid Treble Swaps	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems 10-Chants & Stabs Kit_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\Mid Treble Swaps		606647
	820207910	Low Boom 808	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems 4-Kontakt 7_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceOutOfCombat\IceOutOfCombat\Low Boom 808		1081257
	834049591	Ambient Static	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems AllInTheGame_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\Ambient Static		2780441
	841365503	Hi Hats	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewHiHatsMoreEnv_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceOutOfPuzzle\IceOutOfPuzzle\Hi Hats		675623
	921760669	FunIceThings	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\StacIceArp_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IceCombat\IceCombat\FunIceThings		689597
	975254132	HauntedDropStinger	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\NewStems HauntedDrop_8BA6EBAB.wem		\Actor-Mixer Hierarchy\Default Work Unit\HauntedDropStinger		484266
	976032723	ZapPulse	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\LowFLightningPulseZap_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\LightningCombat\LightningCombat\ZapPulse		932473
	980585793	MAIN Drum	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\MoreDrumWithMid_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\IcePuzzle\IcePuzzle\MAIN Drum		6080400
	1020231047	ExtendedFinal_6-Kontakt_7	C:\498\IronGalaxy498\IronGalaxy498_WwiseProject\.cache\Mac\SFX\ExtendedFinal_6-Kontakt_7_5C91F944.wem		\Interactive Music Hierarchy\Default Work Unit\GameplayMus\ActiveMusic\EndingMusic\FinalLoop\ExtendedFinal_6-Kontakt_7		640532

